(['decade', 'cash', 'idea', 'need', 'thing', 'saying', 'everything', 'cost', 'importance', 'programs—for', 'attention', 'issue', 'focus', 'pay', 'kind', 'approach', 'recognition', 'being', 'result', 'question', 'people', 'management', 'emphasis', 'recruitment', 'decision', 'number', 'discussion', 'evaluation', 'choice', 'consideration', 'relevance', 'results—not', 'intentions—in', 'fact', 'basis', 'performance', 'effort', 'implication', 'course', 'cause', 'effect', 'relationship', 'way', 'illustrate', 'responsibility', 'get', 'work', 'others', 'difference', 'opportunity'], [('sale', 110), ('compensation', 73), ('company', 34), ('plan', 31), ('product', 25), ('management', 25), ('system', 25), ('effort', 25), ('result', 24), ('factor', 24)])
(['being', 'teach', 'talk', 'individual', 'others', 'curiosity', 'learn', 'answer', 'mistake', 'people', 'learning', 'job', 'cause', 'someone', 'run', 'today', 'person', 'hand', 'number', 'year', 'ability', 'opportunity', 'anything', 'day', 'anyone', 'think', 'way', 'wriston', 'change', 'something', 'example', 'desire', 'capability', 'emphasis', 'expenmentation', 'focus', 'need', 'providing', 'meet', 'imagination', 'advantage', 'higher-leverage', 'approach', 'significance', 'time', '—', 'response', 'problem', 'push', 'type'], [('organization', 73), ('leader', 44), ('people', 40), ('vision', 32), ('leadership', 26), ('reality', 22), ('manager', 19), ('view', 19), ('way', 17), ('change', 17)])
(['today', 'company', 'value', 'dilemma', 'business', 'ability', 'advantage', 'technology', 'contribute', 'assure', 'kind', 'help', 'improvement', 'quality', 'opportunity', 'hand', 'set', 'question', 'relationship', 'way', 'work', 'answer', 'something', 'fact', 'purpose', 'issue', 'desire', 'approach', 'relation', 'example', 'assurance', 'response', 'situation', 'sense', 'are—corporate', 'result', 'impact', 'interest', 'success', 'high-technology', 'potential', 'priority', 'capability', 'use', 'moment', 'chance', 'change', 'respect', 'choice', 'look'], [('technology', 88), ('product', 32), ('firm', 25), ('strategy', 25), ('management', 22), ('development', 20), ('business', 19), ('program', 18), ('market', 15), ('process', 14)])
(['today', 'use', 'example', 'advantage', 'good', 'service', 'effort', 'rockart', 'argue', 'others', 'mess', 'work', 'extent', 'aspect', 'approach', 'responsibility', 'fact', 'impact', 'change', 'need', 'specialist', 'day', 'way', 'argues', 'perspective', 'paradigm', 'importance', 'influence', 'concept', 'focus', 'sense', 'benefit', 'present', 'result', 'basis', 'opportunity', 'belief', 'distinction', 'deliver', 'requirement', 'considers', 'mean', 'difference', 'question', 'order', 'subject', 'discussion', 'talk', 'attempt', 'hour'], [('partnership', 138), ('executive', 81), ('relationship', 64), ('organization', 41), ('information', 39), ('system', 33), ('process', 27), ('technology', 26), ('benefit', 25), ('line', 24)])
(['individual', 'work', 'problem', 'get', 'fact', 'approach', 'term', 'change', 'effort', 'point', 'outset', 'something', 'experience', 'basis', 'concern', 'sense', 'considers', 'consequence', 'part', 'example', 'help', 'conclusion', 'time', 'variety', 'chance', 'rioch', 'kind', 'relation', 'one', 'lot', 'way', 'today', 'mind', 'fortunate', 'opportunity', 'observe', 'sort', 'appropriate', 'examine', 'response', 'interest', 'shame', 'nothing', 'lack', 'scenario', 'assumption', 'choice', 'people', 'reach', 'point—the'], [('client', 67), ('group', 48), ('problem', 43), ('consultant', 34), ('process', 30), ('model', 30), ('intervention', 20), ('information', 17), ('consultation', 16), ('manager', 14)])
(['year', 'two-thirds', 'call', 'idea', 'set', 'addition', 'story', 'point', 'customer', 'service', 'perception', 'desire', 'expectation', 'company', 'importance', 'focus', 'work', 'long-distance', 'identify', 'course', 'part', 'part—a', 'part—is', 'attempt', 'question', 'answer', 'term', 'imperative', 'use', 'team', 'problem', 'resolution', 'failure', 'concept', 'cause', 'way', 'sense', 'reality', 'assumption', 'decision', 'market', 'example', 'choice', 'one', 'difference', 'basis', 'attention', 'check', 'order', 'opportunity'], [('service', 183), ('customer', 89), ('company', 56), ('employee', 49), ('manager', 44), ('problem', 27), ('standard', 26), ('reliability', 22), ('people', 21), ('quality', 18)])
(['variety', 'number', 'part', 'product', '—', 'success', 'fact', 'probability', 'use', 'others', 'drawback', 'help', 'worse', 'one', 'context', 'decision', 'outcome', 'contribution', 'issue', 'point', 'respect', 'example', 'result', 'people', 'consider', 'problem', 'situation', 'customer', 'disregard', 'perception', 'quality', 'basis', 'advantage', 'way', 'aaker', 'häagen-dazs', 'step', 'determine', 'service/product', 'existence', 'difference', 'coca-cola', 'fear', 'reason', 'attitude', 'chance', 'interest', 'course', 'risk', 'possibility'], [('brand', 108), ('name', 89), ('product', 73), ('association', 68), ('extension', 67), ('line', 20), ('quality', 19), ('—', 13), ('consumer', 13), ('decision', 13)])
(['idea', 'job', 'aim', 'problem', 'approach', 'people', 'realization', 'ie', 'management', 'fact', 'work', 'concern', 'concept', 'enter', 'taylorism', 'technology–the', 'capability', 'process', 'redesign–the', 'create', 'way', 'technology', 'redesign', 'experience', 'issue', 'importance', 'us', 'week', 'year–', 'exception', 'improvement', 'provide', 'refer', 'today', 'responsibility', 'past', 'promise–and', 'impact–is', 'define', 'outcome', 'definition', 'end', 'result', 'set', '–', 'example', 'good', 'purchasing', 'creation', 'order'], [('process', 229), ('business', 66), ('company', 51), ('redesign', 47), ('organization', 40), ('information', 40), ('system', 39), ('example', 32), ('management', 27), ('approach', 25)])
(['past', 'decade', 'industry', 'equipment—technology', 'operation', 'technology', 'reason', 'advantage', 'hope', 'level', 'expense', 'success', 'stories—most', 'skill', 'capability', 'addition', 'year', 'today', 'equipment', 'course', 'contribution', 'operating', 'expenses—have', 'result', 'think', 'half', 'maintain', '—or', 'increase—their', 'problem', 'improvement', 'marketplace', 'approach', 'need', 'ability', 'work', 'tends', 'methodology', 'market-place', 'example', 'some-one', 'history', 'period—', 'day', 'time', 'disadvantage', 'cost', 'imperative', 'wait', 'desire'], [('service', 31), ('technology', 29), ('operation', 23), ('customer', 23), ('cost', 17), ('investment', 15), ('system', 15), ('company', 14), ('employee', 12), ('percent', 12)])
(['half', 'attention', 'problem', 'day', 'cost', 'relationship', 'advantage', 'example', 'relation', 'year', 'disadvantage', 'end', 'course', 'manage', 'emphasis', 'matter', 'time', 'effort', 'focus', 'issue', 'variety', 'myriad', 'requirement', 'use', 'failure', 'problems—the', 'decade', 'help', 'concern', 'whereas', 'responsibility', 'position', 'category—banks', 'deal', 'fact', 'people', 'choice', 'benefit', 'category', 'provide', 'sufficient', 'intention', 'initiative', 'offer', 'lack', 'influence', 'change', 'rest', 'way', 'money'], [('program', 61), ('company', 42), ('management', 42), ('corporation', 41), ('problem', 34), ('level', 20), ('staff', 18), ('stage', 17), ('business', 17), ('policy', 15)])
